Time	Timestep	Episodes	AverageReturn	MaxReturn	Exploration
5.000034968058268e-05	3030000	1532	16.75	17.37	0.09238750000000001
5.2316983540852865e-05	3040000	1536	16.68	17.37	0.09235
4.5228004455566404e-05	3050000	1541	16.67	17.37	0.0923125
3.7960211435953776e-05	3060000	1545	16.66	17.37	0.09227500000000001
4.11073366800944e-05	3070000	1549	16.67	17.37	0.0922375
4.465977350870768e-05	3080000	1553	16.52	17.37	0.0922
5.28415044148763e-05	3090000	1558	16.41	17.37	0.09216250000000001
4.847049713134766e-05	3100000	1562	16.29	17.37	0.09212500000000001
4.6757857004801434e-05	3110000	1566	16.19	17.37	0.0920875
5.049308141072591e-05	3120000	1571	16.13	17.37	0.09205
5.2098433176676435e-05	3130000	1575	16.08	17.37	0.09201250000000001
2.4819374084472655e-05	3140000	1579	16.13	17.37	0.091975
4.650751749674479e-05	3150000	1583	16.06	17.37	0.0919375
4.241069157918294e-05	3160000	1587	16.11	17.37	0.09190000000000001
3.887017567952474e-05	3170000	1592	16.05	17.37	0.0918625
5.441904067993164e-05	3180000	1596	15.98	17.37	0.091825
3.9807955423990886e-05	3190000	1600	15.88	17.37	0.09178750000000001
2.6194254557291665e-05	3200000	1605	15.79	17.37	0.09175
4.475116729736328e-05	3210000	1610	15.76	17.37	0.0917125
3.988742828369141e-05	3220000	1614	15.8	17.37	0.091675
4.848639170328776e-05	3230000	1619	15.78	17.37	0.09163750000000001
4.8502286275227865e-05	3240000	1623	15.78	17.37	0.0916
4.763603210449219e-05	3250000	1628	15.81	17.37	0.0915625
4.516045252482096e-05	3260000	1633	15.92	17.37	0.09152500000000001
4.309415817260742e-05	3270000	1637	15.97	17.37	0.0914875
4.549821217854818e-05	3280000	1641	16.0	17.37	0.09145
4.229942957560221e-05	3290000	1645	16.05	17.37	0.09141250000000001
5.035400390625e-05	3300000	1650	16.07	17.37	0.091375
4.299481709798177e-05	3310000	1655	16.27	17.37	0.0913375
5.037784576416016e-05	3320000	1659	16.23	17.37	0.0913
4.6984354654947916e-05	3330000	1664	16.39	17.37	0.09126250000000001
4.722277323404948e-05	3340000	1668	16.45	17.37	0.091225
4.738569259643555e-05	3350000	1673	16.55	17.37	0.0911875
2.7108192443847657e-05	3360000	1678	16.6	17.37	0.09115000000000001
4.287163416544596e-05	3370000	1682	16.67	17.37	0.0911125
4.696846008300781e-05	3380000	1687	16.86	17.37	0.091075
1.9749005635579426e-05	3390000	1692	17.08	17.37	0.09103750000000001
5.261103312174479e-05	3400000	1697	17.1	17.37	0.091
4.667441050211589e-05	3410000	1701	17.09	17.37	0.0909625
7.310708363850911e-05	3420000	1705	17.05	17.37	0.090925
4.370609919230143e-05	3430000	1710	17.14	17.37	0.09088750000000001
3.1328201293945314e-05	3440000	1715	17.1	17.37	0.09085
4.5871734619140626e-05	3450000	1720	17.14	17.37	0.0908125
4.6030680338541666e-05	3460000	1725	17.18	17.37	0.09077500000000001
4.410743713378906e-05	3470000	1730	17.24	17.37	0.0907375
4.622141520182292e-05	3480000	1734	17.15	17.37	0.0907
4.2510032653808596e-05	3490000	1739	17.22	17.37	0.09066250000000001
4.483461380004883e-05	3500000	1743	17.21	17.37	0.09062500000000001
4.566510518391927e-05	3510000	1749	17.35	17.37	0.0905875
4.838705062866211e-05	3520000	1754	17.28	17.37	0.09055
4.7266483306884766e-05	3530000	1759	17.39	17.39	0.09051250000000001
5.08427619934082e-05	3540000	1763	17.37	17.44	0.090475
4.621744155883789e-05	3550000	1767	17.38	17.44	0.0904375
3.7900606791178386e-05	3560000	1772	17.37	17.44	0.09040000000000001
5.103747049967448e-05	3570000	1776	17.38	17.44	0.0903625
4.387299219767253e-05	3580000	1781	17.26	17.44	0.090325
5.205869674682617e-05	3590000	1785	17.21	17.44	0.0902875
4.279613494873047e-05	3600000	1790	17.26	17.44	0.09025
3.7610530853271484e-05	3610000	1795	17.26	17.44	0.0902125
4.442532857259115e-05	3620000	1800	17.41	17.44	0.090175
4.965464274088542e-05	3630000	1805	17.48	17.49	0.09013750000000001
3.7439664204915364e-05	3640000	1810	17.43	17.49	0.0901
3.742376963297526e-05	3650000	1815	17.55	17.56	0.0900625
4.63406244913737e-05	3660000	1820	17.56	17.59	0.09002500000000001
4.683335622151693e-05	3670000	1824	17.54	17.59	0.0899875
4.488229751586914e-05	3680000	1830	17.58	17.59	0.08995
5.114873250325521e-05	3690000	1835	17.7	17.7	0.0899125
4.741350809733073e-05	3700000	1840	17.82	17.82	0.08987500000000001
4.3610731760660805e-05	3710000	1845	17.9	17.9	0.0898375
4.819631576538086e-05	3720000	1851	17.99	17.99	0.0898
4.576444625854492e-05	3730000	1855	17.92	18.02	0.08976250000000001
4.954735438028971e-05	3740000	1861	17.98	18.02	0.089725
5.0659974416097e-05	3750000	1866	18.06	18.08	0.0896875
5.305608113606771e-05	3760000	1871	18.11	18.13	0.08965000000000001
6.75042470296224e-05	3770000	1876	18.14	18.14	0.08961250000000001
4.4008096059163414e-05	3780000	1880	18.27	18.27	0.089575
4.292726516723633e-05	3790000	1885	18.29	18.29	0.0895375
4.649162292480469e-05	3800000	1891	18.23	18.29	0.08950000000000001
4.7771135965983075e-05	3810000	1895	18.23	18.29	0.0894625
2.5916099548339844e-05	3820000	1901	18.28	18.29	0.089425
5.306005477905274e-05	3830000	1906	18.29	18.29	0.08938750000000001
3.9478143056233726e-05	3840000	1910	18.35	18.36	0.08935
3.719727198282878e-05	3850000	1915	18.37	18.37	0.0893125
4.116694132486979e-05	3860000	1920	18.44	18.44	0.08927500000000001
4.200537999471029e-05	3870000	1925	18.41	18.5	0.0892375
4.612604777018229e-05	3880000	1930	18.42	18.5	0.0892
4.28160031636556e-05	3890000	1935	18.35	18.5	0.0891625
4.963080088297526e-05	3900000	1940	18.23	18.5	0.08912500000000001
4.921754201253255e-05	3910000	1945	18.2	18.5	0.0890875
4.851818084716797e-05	3920000	1950	18.15	18.5	0.08905
4.848241806030273e-05	3930000	1954	18.16	18.5	0.08901250000000001
4.8049290974934895e-05	3940000	1959	18.18	18.5	0.088975
5.089441935221354e-05	3950000	1964	18.15	18.5	0.0889375
4.477500915527344e-05	3960000	1969	18.11	18.5	0.0889
4.780292510986328e-05	3970000	1974	18.18	18.5	0.08886250000000001
3.1900405883789065e-05	3980000	1978	18.17	18.5	0.088825
4.518429438273112e-05	3990000	1983	18.24	18.5	0.0887875
4.6873092651367186e-05	4000000	1988	18.25	18.5	0.08875000000000001
4.6757857004801434e-05	4010000	1993	18.26	18.5	0.0887125
4.4222672780354815e-05	4020000	1997	18.23	18.5	0.088675
4.8665205637613934e-05	4030000	2002	18.16	18.5	0.08863750000000001
4.834731419881185e-05	4040000	2007	18.04	18.5	0.0886
4.511276880900065e-05	4050000	2011	18.01	18.5	0.0885625
4.324913024902344e-05	4060000	2016	17.89	18.5	0.088525
2.1866957346598308e-05	4070000	2022	17.9	18.5	0.0884875
5.290508270263672e-05	4080000	2026	17.99	18.5	0.08845
4.9126148223876956e-05	4090000	2032	18.02	18.5	0.0884125
5.0572554270426434e-05	4100000	2037	18.08	18.5	0.08837500000000001
4.60664431254069e-05	4110000	2041	18.03	18.5	0.0883375
4.622141520182292e-05	4120000	2046	17.92	18.5	0.0883
4.276434580485026e-05	4130000	2051	17.96	18.5	0.08826250000000001
4.532734553019206e-05	4140000	2056	17.97	18.5	0.088225
5.3612391153971356e-05	4150000	2061	17.9	18.5	0.0881875
4.6642621358235675e-05	4160000	2066	17.98	18.5	0.08815
6.936391194661458e-05	4170000	2072	17.94	18.5	0.08811250000000001
4.593928654988607e-05	4180000	2076	17.94	18.5	0.088075
