Time	Timestep	Episodes	AverageReturn	MaxReturn	Exploration
3.983577092488607e-05	1740000	979	11.49	11.49	0.097225
4.7417481740315753e-05	1750000	983	11.75	11.75	0.09718750000000001
4.975795745849609e-05	1760000	986	11.71	11.75	0.09715
6.12656275431315e-05	1770000	990	11.78	11.78	0.0971125
4.740556081136068e-05	1780000	994	11.83	11.83	0.09707500000000001
2.3674964904785156e-05	1790000	997	11.66	11.83	0.0970375
5.1291783650716144e-05	1800000	1001	11.68	11.83	0.097
2.4112065633138022e-05	1810000	1004	11.6	11.83	0.09696250000000001
2.423524856567383e-05	1820000	1007	11.55	11.83	0.09692500000000001
4.925727844238281e-05	1830000	1011	11.56	11.83	0.0968875
3.937880198160807e-05	1840000	1015	11.52	11.83	0.09685
5.049308141072591e-05	1850000	1019	11.64	11.83	0.09681250000000001
4.723866780598958e-05	1860000	1023	11.97	11.97	0.096775
4.403591156005859e-05	1870000	1027	12.2	12.2	0.0967375
4.517237345377604e-05	1880000	1030	12.36	12.39	0.09670000000000001
4.5919418334960936e-05	1890000	1033	12.28	12.42	0.0966625
4.162391026814779e-05	1900000	1037	12.25	12.42	0.096625
5.154609680175781e-05	1910000	1041	12.15	12.42	0.0965875
4.8844019571940106e-05	1920000	1045	12.4	12.42	0.09655000000000001
2.064704895019531e-05	1930000	1049	12.5	12.52	0.0965125
5.611181259155273e-05	1940000	1053	12.63	12.63	0.096475
4.892746607462565e-05	1950000	1056	12.56	12.63	0.09643750000000001
4.362662633260091e-05	1960000	1059	12.69	12.73	0.0964
5.144278208414714e-05	1970000	1063	12.6	12.73	0.0963625
4.209280014038086e-05	1980000	1067	12.54	12.73	0.09632500000000001
3.378788630167643e-05	1990000	1070	12.65	12.73	0.0962875
2.4370352427164714e-05	2000000	1073	12.67	12.75	0.09625
2.1044413248697916e-05	2010000	1077	12.66	12.75	0.0962125
2.700487772623698e-05	2020000	1080	12.52	12.75	0.09617500000000001
4.891157150268555e-05	2030000	1083	12.4	12.75	0.0961375
4.2887528737386066e-05	2040000	1086	12.41	12.75	0.0961
4.4222672780354815e-05	2050000	1090	12.49	12.75	0.09606250000000001
4.13060188293457e-05	2060000	1094	12.44	12.75	0.096025
5.081892013549805e-05	2070000	1097	12.58	12.75	0.0959875
6.266832351684571e-05	2080000	1101	12.69	12.75	0.09595000000000001
4.5398871103922524e-05	2090000	1105	12.86	12.86	0.09591250000000001
4.769166310628255e-05	2100000	1109	12.81	12.91	0.095875
4.957914352416992e-05	2110000	1114	12.93	12.93	0.0958375
4.694859186808268e-05	2120000	1118	13.11	13.11	0.09580000000000001
4.773934682210286e-05	2130000	1122	13.11	13.13	0.0957625
5.053281784057617e-05	2140000	1125	12.99	13.13	0.095725
4.657904307047526e-05	2150000	1128	13.07	13.13	0.09568750000000001
4.1826566060384115e-05	2160000	1132	13.07	13.13	0.09565
4.411141077677409e-05	2170000	1136	13.15	13.23	0.0956125
4.9173831939697266e-05	2180000	1139	13.0	13.23	0.09557500000000001
4.796187082926432e-05	2190000	1143	12.94	13.23	0.09553750000000001
4.3555100758870444e-05	2200000	1146	12.84	13.23	0.0955
4.599491755167643e-05	2210000	1150	12.79	13.23	0.0954625
4.846254984537761e-05	2220000	1153	12.38	13.23	0.09542500000000001
5.2591164906819664e-05	2230000	1156	12.42	13.23	0.0953875
4.402001698811849e-05	2240000	1158	12.23	13.23	0.09535
4.155238469441732e-05	2250000	1161	12.12	13.23	0.09531250000000001
4.9674510955810546e-05	2260000	1165	11.94	13.23	0.095275
2.4398167928059895e-05	2270000	1168	11.97	13.23	0.0952375
4.376570383707682e-05	2280000	1171	11.78	13.23	0.0952
4.6694278717041014e-05	2290000	1175	11.73	13.23	0.09516250000000001
